Genotype,chr4,chr9,MGDG,DGDG,SQDG,PG,PIPE,PC,PG_16_0,PG_16_1,PG_18_0,PG_18_2,PG_18_3,MGDG_16_0,MGDG_18_2,MGDG_18_3,DGDG_16_0,DGDG_18_2,DGDG_18_3,PC_16_0,PC_18_1,PC_18_2,PC_18_3,SQDG_16_0,SQDG_18_0,SQDG_18_1,SQDG_18_2,SQDG_18_3,PEPI_16_0,PEPI_18_1,PEPI_18_2,PEPI_18_3,DGDG/MGDG,LT_DEPI_phi2_81,LT_DEPI_qIt_81,LT_DEPI_qL_81
1,AA,AA,32.67479972,21.10787216,4.714892064,12.78550875,8.947109683,14.53378594,29.858138,32.985609,2.51,3.078698,31.781662,1.42572038,3.046042146,95.83006499,7.979667022,1.226718393,90.00686038,20.02946725,5.829449815,39.57950652,33.06004586,34.34124946,2.971438416,2.67350077,7.952132639,52.1366413,31.51621531,2.727574579,34.21677683,30.20345325,0.645998517,0.518810664,1.539135063,0.52125
2,AA,AA,33.65868681,22.16213552,4.578617071,11.90826979,8.697144561,15.13733599,27.720849,35.725152,2.77,3.044493,26.443989,1.386011023,2.307299981,95.95428093,7.085992443,0.850164307,91.36281752,20.67865074,4.003998309,35.08177692,38.8587655,35.4728446,3.312826675,1.077531973,6.410688013,51.95724435,32.12681418,2.2644573,30.9283886,32.41364298,0.658437319,0.375547565,1.941258244,0.364375
4,AA,BB,31.35703999,22.03548326,5.607614414,10.99148302,9.907516191,15.30644861,26.072732,38.58,2.466,2.58495,24.479395,1.454317848,2.013958073,96.26885438,7.275877554,0.523547218,91.03268323,22.13388777,3.855499395,36.72899839,37.09022175,31.45792742,2.929918256,1.622079734,8.465794451,55.67568326,32.36875718,1.935331865,33.68359518,31.33934088,0.702728423,0.132851172,4.595215009,0.198375
5,AA,BB,34.71751233,25.20243941,4.74714844,11.40616707,10.28080707,15.80307729,29.495141,35.212206,2.4,2.654579,25.41573,1.418101924,2.200147504,96.07672811,8.110991531,0.536615553,90.41545508,20.37481904,3.677406825,36.54006851,37.32745707,36.23257472,3.135967048,0.894493296,5.72593972,53.37096561,32.94140555,1.420544321,32.54393631,32.78502305,0.725928724,0.264330518,2.600429369,0.2644
6,AA,BB,31.9494529,21.37968449,4.728547917,12.4029472,10.50782653,16.63485184,29.933771,34.308466,2.526,2.787746,29.28866,1.555333414,2.292334039,95.9176963,7.476300427,0.681296499,90.68105862,19.33684925,3.690494902,37.38688328,37.51219077,34.06370445,3.189835114,0.884579641,5.678219713,55.6154884,32.62274686,2.171527738,32.5888091,31.39068846,0.669172163,0.323927815,1.998066617,0.31602
7,BB,AA,30.81225222,21.93721297,5.578623092,11.04406911,12.572141,16.34966246,29.18518,34.783473,2.098,2.889896,29.812273,1.554281594,2.487480409,95.24747951,7.603214334,0.883763406,90.67868174,18.64277264,5.251710743,38.34965078,35.10976398,33.93878096,2.798707505,,5.335411138,54.81243992,29.80578362,2.077840282,31.2221754,36.13487941,0.711963956,0.356022821,1.973640803,0.3399
11,BB,BB,31.94467695,19.61417527,5.044247905,12.184213,12.74762638,,32.231139,36.15746,3.1275,2.896108,26.688653,1.608093417,2.478554127,95.31829033,9.165561386,0.955468946,88.01012182,18.73301813,5.068202386,41.07160667,33.05589583,32.94341951,3.226272603,,8.135049305,,30.74547984,2.506442518,33.6763449,31.48843064,0.614004496,0.373924268,2.082079948,0.36258
12,BB,BB,32.18344348,25.04813655,4.503801433,9.821414368,11.51300609,16.78626445,31.093362,36.480383,2.628,2.913545,24.710317,1.020283135,2.113245374,96.11939989,7.459006699,0.714194438,90.40923639,18.32883259,4.488587094,36.47386076,37.12097594,34.41952384,2.929926085,0.72617757,4.400208646,54.48737339,33.10479899,2.138494985,31.49089986,33.56586292,0.77829262,0.370029704,1.975693819,0.361675
13,BB,AA,31.05498089,23.18580034,4.658007057,11.10559145,13.82197516,16.47385786,30.86008,32.242629,2.33,3.280646,28.707844,1.432606777,3.056235447,95.07899106,8.745316399,0.925645074,88.20692801,18.23726995,5.637993682,38.17444261,34.26533053,35.30805517,3.072545296,0.927952951,4.93450121,53.65416479,29.83427914,3.018870747,32.72399655,31.91602784,0.746604882,0.541414498,1.491020311,0.56195
14,AA,BB,31.05301353,19.13058101,4.685570284,11.57593105,9.294176474,14.71355424,29.892542,34.228805,2.7,3.242967,28.797908,1.081827035,2.286662375,96.43748754,7.69612851,0.823192945,89.49067757,18.12849155,4.907158143,40.83017986,34.29332348,34.22280465,2.764137727,1.920932803,8.625466596,49.70466438,29.42913838,2.226274462,34.95410992,32.27851242,0.61606198,0.388965472,1.572618638,0.375516667
17,BB,BB,30.88056421,23.21282803,4.862249641,11.22454867,11.44353473,16.56212528,28.759429,35.564029,2.498,3.139448,30.699328,1.23347384,2.2689145,96.3023035,8.471853122,0.660739074,88.35205585,18.5012461,4.856101094,39.85697467,35.06317173,33.83213472,3.19322152,1.715552278,7.545241599,50.96386963,29.26853986,2.204802329,34.01479141,31.99952858,0.751697018,0.410024972,1.828755485,0.3908
20,BB,BB,33.00331432,21.38370908,4.840949451,10.94543347,12.03097252,17.0636783,30.165484,32.682465,2.3775,3.143263,31.068328,1.14401224,2.626876919,95.12206153,9.409123742,0.75155939,87.02253436,19.17275835,4.616343691,38.64664159,36.86916602,33.57033815,3.026963683,1.33705878,6.751303512,53.71492278,31.10728427,1.663759994,33.23397826,33.93149885,0.64792611,0.46659942,1.695202383,0.461675
21,BB,AA,31.8164767,23.60228257,5.927450099,9.78124238,11.82315849,16.94675306,34.792807,32.223717,2.4275,3.223199,23.657213,0.691265383,2.967016583,94.836443,8.989018405,0.864616942,88.55334604,18.08353375,5.769016597,39.8575535,34.18454811,35.3594395,3.911153348,1.714067048,7.501731195,48.79144744,33.14588027,2.989021741,33.05691439,29.19006228,0.741825778,0.508221422,1.509536405,0.499
23,BB,BB,32.28012463,23.03553063,5.221904361,10.56163303,11.23330692,17.87797807,34.226202,34.19319,2.7025,3.879745,27.69726,1.830752745,3.330394653,94.78907147,7.792661562,0.872226586,90.03691757,17.86095007,5.647392412,40.87502655,33.29083271,35.86452131,3.855639977,1.938797456,10.85005858,45.14550149,30.17841335,2.665852477,35.72626699,28.70758594,0.713613435,0.497462745,1.675098762,0.51656
24,BB,AA,33.60770947,23.30483769,4.899416999,13.02523131,10.9685809,15.99662419,30.546715,33.739452,2.7075,2.740125,28.798382,1.596454744,2.695163747,94.84654074,6.893982293,0.908233749,91.37942768,18.2397997,5.999861414,39.16646189,35.35887274,33.29277511,3.469307743,1.728848008,6.877261468,54.01504722,31.25441678,2.790437983,33.66070196,31.10516405,0.693437252,0.399591232,2.150199649,0.411875
25,AA,AA,34.08307733,22.42490521,5.107306109,11.98492445,10.5011436,16.60630816,32.599095,33.018853,2.3825,3.196828,25.421939,1.252448073,2.739750295,95.54823767,7.633266734,1.115551816,90.26238456,17.79227126,5.113245556,42.49497981,32.95081329,36.92680129,3.506947641,1.779905419,8.014276806,49.09341338,29.52275225,2.036360157,35.6393267,32.27678549,0.657948371,0.497348586,1.434540668,0.4715
26,BB,BB,33.01797173,20.50294986,5.141768989,11.97575225,11.05987503,17.21280675,30.140312,30.671806,2.367109845,2.964457,31.714196,1.542796935,2.494330956,95.24098987,7.910141513,0.756994226,90.19189307,19.2184479,6.078513783,39.38825401,34.57277575,33.62860044,3.395696252,1.897243547,7.257363652,56.24319291,30.44784625,2.904372153,34.08347711,27.88847158,0.620963336,0.510727895,1.622712229,0.51445
27,AA,AA,32.83337523,20.66895194,4.921953003,11.62595537,10.16417956,19.07354878,31.038877,33.331404,2.21,3.34514,28.372747,1.114559929,2.735483218,95.8417877,8.181403425,0.963068816,89.59250301,18.92357387,5.427410796,40.62251535,33.23265524,34.87102723,2.987964758,1.832453144,7.61301485,52.23335307,31.30009931,2.424739364,33.91584659,30.30418352,0.629510423,0.452482135,1.630343208,0.4226
