Lipid,Genotype and condition,FA,mean,sd,se
DGDG,125BCOLD,16:00,9.785430227,1.677818892,0.968689189
DGDG,125BCONT,16:00,10.77582271,1.698046126,0.980367388
DGDG,125BLTCOLD,16:00,10.21102247,4.752076182,1.680112647
DGDG,CB27COLD,16:00,7.177829863,0.520538718,0.260269359
DGDG,CB27CONT,16:00,9.911009027,1.8340566,1.058893072
DGDG,CB27LTCOLD,16:00,7.739501514,3.028805728,1.236504761
DGDG,125BCOLD,16:02,0.020229514,0.035038547,0.020229514
DGDG,125BCONT,16:02,0.118010948,0.112827127,0.065140772
DGDG,125BLTCOLD,16:02,0.061018639,0.113565948,0.040151626
DGDG,CB27COLD,16:02,0.013781647,0.027563294,0.013781647
DGDG,CB27CONT,16:02,0,0,0
DGDG,CB27LTCOLD,16:02,0,0,0
DGDG,125BCOLD,16:03,0.035263762,0.061078628,0.035263762
DGDG,125BCONT,16:03,0.046077626,0.07980879,0.046077626
DGDG,125BLTCOLD,16:03,0,0,0
DGDG,CB27COLD,16:03,0.109974724,0.048883586,0.024441793
DGDG,CB27CONT,16:03,0.068364038,0.0595744,0.034395296
DGDG,CB27LTCOLD,16:03,0.016740819,0.041006463,0.016740819
DGDG,125BCOLD,18:00,1.494845765,0.246325982,0.142216372
DGDG,125BCONT,18:00,1.395335983,0.425012494,0.245381078
DGDG,125BLTCOLD,18:00,0.854682145,1.017519561,0.359747491
DGDG,CB27COLD,18:00,0.916072224,0.161305432,0.080652716
DGDG,CB27CONT,18:00,0.868117388,0.210295378,0.121414093
DGDG,CB27LTCOLD,18:00,0.380799831,0.380087549,0.155170092
DGDG,125BCOLD,18:02,0.800885172,0.095465711,0.055117154
DGDG,125BCONT,18:02,0.820657593,0.103591863,0.05980879
DGDG,125BLTCOLD,18:02,0.632543008,0.189141565,0.066871642
DGDG,CB27COLD,18:02,1.274025525,0.092349448,0.046174724
DGDG,CB27CONT,18:02,1.250466608,0.197138244,0.113817818
DGDG,CB27LTCOLD,18:02,0.890963072,0.126383926,0.051596022
DGDG,125BCOLD,18:03,87.30250608,2.040040569,1.177817972
DGDG,125BCONT,18:03,86.11628906,2.522008713,1.456082409
DGDG,125BLTCOLD,18:03,87.44820331,6.292194168,2.224626583
DGDG,CB27COLD,18:03,89.98228038,0.635633547,0.317816774
DGDG,CB27CONT,18:03,87.49375744,1.827772221,1.055264784
DGDG,CB27LTCOLD,18:03,89.66757152,5.469868984,2.233064662
DGDG,125BCOLD,16:1 d3 & d11,0.129170355,0.053615686,0.030955031
DGDG,125BCONT,16:1 d3 & d11,0.273514216,0.133344964,0.076986751
DGDG,125BLTCOLD,16:1 d3 & d11,0.297230323,0.426108335,0.150652047
DGDG,CB27COLD,16:1 d3 & d11,0.151896026,0.049989963,0.024994982
DGDG,CB27CONT,16:1 d3 & d11,0.176467274,0.027137555,0.015667875
DGDG,CB27LTCOLD,16:1 d3 & d11,0.869333269,2.129422925,0.869333269
DGDG,125BCOLD,16:1 d7 (& d9),0.088258306,0.083937489,0.048461332
DGDG,125BCONT,16:1 d7 (& d9),0.11338568,0.100860551,0.058231866
DGDG,125BLTCOLD,16:1 d7 (& d9),0,0,0
DGDG,CB27COLD,16:1 d7 (& d9),0.090638985,0.084103272,0.042051636
DGDG,CB27CONT,16:1 d7 (& d9),0,0,0
DGDG,CB27LTCOLD,16:1 d7 (& d9),0,0,0
DGDG,125BCOLD,18:1 d9,0.343410817,0.044126394,0.025476385
DGDG,125BCONT,18:1 d9,0.340906177,0.123448295,0.071272906
DGDG,125BLTCOLD,18:1 d9,0.495300102,0.38899923,0.137531997
DGDG,CB27COLD,18:1 d9,0.28350063,0.00696566,0.00348283
DGDG,CB27CONT,18:1 d9,0.231818223,0.026755137,0.015447086
DGDG,CB27LTCOLD,18:1 d9,0.435089972,0.345018493,0.14085321
MGDG,125BCOLD,16:00,1.900208307,0.512849963,0.296094064
MGDG,125BCONT,16:00,3.259963022,0.892994076,0.51557037
MGDG,125BLTCOLD,16:00,1.624154176,1.217496034,0.430449851
MGDG,CB27COLD,16:00,1.769571732,0.083585439,0.041792719
MGDG,CB27CONT,16:00,2.025209303,0.362183722,0.209106869
MGDG,CB27LTCOLD,16:00,1.49390072,0.311159736,0.12703043
MGDG,125BCOLD,16:02,0,0,0
MGDG,125BCONT,16:02,0.054584618,0.047463584,0.027403113
MGDG,125BLTCOLD,16:02,0.019866313,0.03702011,0.013088585
MGDG,CB27COLD,16:02,0.025320153,0.029361694,0.014680847
MGDG,CB27CONT,16:02,0,0,0
MGDG,CB27LTCOLD,16:02,0,0,0
MGDG,125BCOLD,16:03,0.041433817,0.037374299,0.021578062
MGDG,125BCONT,16:03,0.066158618,0.058463692,0.033754028
MGDG,125BLTCOLD,16:03,0,0,0
MGDG,CB27COLD,16:03,0.067163281,0.015989141,0.007994571
MGDG,CB27CONT,16:03,0.065717318,0.061176658,0.03532036
MGDG,CB27LTCOLD,16:03,0,0,0
MGDG,125BCOLD,18:00,0.2566211,0.047401459,0.027367245
MGDG,125BCONT,18:00,0.426984656,0.181970901,0.105060949
MGDG,125BLTCOLD,18:00,0.157721713,0.177246879,0.062666235
MGDG,CB27COLD,18:00,0.344548707,0.264606948,0.132303474
MGDG,CB27CONT,18:00,0.287880562,0.208047647,0.120116365
MGDG,CB27LTCOLD,18:00,0.090172959,0.072750458,0.02970025
MGDG,125BCOLD,18:02,1.514070608,0.079667709,0.045996173
MGDG,125BCONT,18:02,3.117840392,0.634350871,0.366242646
MGDG,125BLTCOLD,18:02,2.108927354,0.341721775,0.120816892
MGDG,CB27COLD,18:02,1.979869597,0.207454152,0.103727076
MGDG,CB27CONT,18:02,2.770493753,0.699339443,0.403763816
MGDG,CB27LTCOLD,18:02,2.943689142,0.368117853,0.150283484
MGDG,125BCOLD,18:03,95.31658638,1.072913391,0.619446835
MGDG,125BCONT,18:03,92.54061009,1.734112965,1.001190587
MGDG,125BLTCOLD,18:03,95.31715271,1.521260066,0.537846654
MGDG,CB27COLD,18:03,95.38580447,0.20868343,0.104341715
MGDG,CB27CONT,18:03,94.31623625,0.815327869,0.470729765
MGDG,CB27LTCOLD,18:03,95.22741283,0.641544037,0.261909256
MGDG,125BCOLD,16:1 d3 & d11,0.604314998,0.595513844,0.343820078
MGDG,125BCONT,16:1 d3 & d11,0.170594152,0.018032524,0.010411082
MGDG,125BLTCOLD,16:1 d3 & d11,0.545069324,0.545424417,0.192836652
MGDG,CB27COLD,16:1 d3 & d11,0.186036057,0.096100208,0.048050104
MGDG,CB27CONT,16:1 d3 & d11,0.285297458,0.119208335,0.068824964
MGDG,CB27LTCOLD,16:1 d3 & d11,0.092279471,0.105505035,0.04307225
MGDG,125BCOLD,16:1 d7 (& d9),0.062398237,0.108076916,0.062398237
MGDG,125BCONT,16:1 d7 (& d9),0.029804533,0.051622966,0.029804533
MGDG,125BLTCOLD,16:1 d7 (& d9),0,0,0
MGDG,CB27COLD,16:1 d7 (& d9),0.01346515,0.0269303,0.01346515
MGDG,CB27CONT,16:1 d7 (& d9),0,0,0
MGDG,CB27LTCOLD,16:1 d7 (& d9),0,0,0
MGDG,125BCOLD,18:1 d9,0.304366554,0.078614345,0.045388013
MGDG,125BCONT,18:1 d9,0.333459916,0.065553427,0.037847289
MGDG,125BLTCOLD,18:1 d9,0.227108407,0.080228454,0.028365042
MGDG,CB27COLD,18:1 d9,0.228220851,0.042030497,0.021015248
MGDG,CB27CONT,18:1 d9,0.249165358,0.052911159,0.030548272
MGDG,CB27LTCOLD,18:1 d9,0.152544873,0.063361747,0.025867325
PC,125BCOLD,16:00,20.78231229,2.549739205,1.472092616
PC,125BCONT,16:00,21.03312347,0.991285362,0.572318871
PC,125BLTCOLD,16:00,18.89036595,2.619873523,1.069558887
PC,CB27COLD,16:00,18.86882259,0.958887341,0.47944367
PC,CB27CONT,16:00,20.07137236,0.124066564,0.071629864
PC,CB27LTCOLD,16:00,18.45567094,2.140839805,0.873994191
