,chr,pos (cM),LOD MGDG,LOD DGDG,LOD SQDG,LOD PG,LOD PEPI,LOD PC,LOD ratio
1,1,0,0.137286739,0.016538286,0.335482971,0.027198655,0.181265056,0.009595258,0.093840557
2,1,0,0.137286739,0.016538286,0.335482971,0.027198655,0.181265056,0.009595258,0.093840557
3,1,2.63,0.077492091,0.105734792,0.234664351,0.016846321,0.088482234,0.074016508,0.137895647
4,1,2.63,0.077492091,0.105734792,0.234664351,0.016846321,0.088482234,0.074016508,0.137895647
5,1,2.63,0.077492091,0.105734792,0.234664351,0.016846321,0.088482234,0.074016508,0.137895647
6,1,2.63,0.077492091,0.105734792,0.234664351,0.016846321,0.088482234,0.074016508,0.137895647
7,1,3.23,0.063850726,0.126083804,0.211663906,0.014484572,0.067315051,0.088713371,0.147946238
8,1,3.82,0.050436718,0.146093667,0.189046801,0.012162185,0.046500654,0.103165286,0.157829319
9,1,4.43,0.036567997,0.16678183,0.165663015,0.009761074,0.024980684,0.118107097,0.16804742
10,1,4.43,0.036567997,0.16678183,0.165663015,0.009761074,0.024980684,0.118107097,0.16804742
11,1,4.43,0.036567997,0.16678183,0.165663015,0.009761074,0.024980684,0.118107097,0.16804742
12,1,4.43,0.036567997,0.16678183,0.165663015,0.009761074,0.024980684,0.118107097,0.16804742
13,1,4.43,0.036567997,0.16678183,0.165663015,0.009761074,0.024980684,0.118107097,0.16804742
14,1,4.43,0.036567997,0.16678183,0.165663015,0.009761074,0.024980684,0.118107097,0.16804742
15,1,4.43,0.036567997,0.16678183,0.165663015,0.009761074,0.024980684,0.118107097,0.16804742
16,1,5,0.023608701,0.186113392,0.143812592,0.007517412,0.004871859,0.132069117,0.177595481
17,1,5.02,0.023723392,0.186008029,0.143284119,0.007489574,0.00501924,0.13154673,0.177477698
18,1,5.62,0.027164129,0.182847125,0.127429948,0.006654436,0.009440663,0.11587512,0.173944188
19,1,7.45,0.037658376,0.173206368,0.079074724,0.004107267,0.022926002,0.068076709,0.163166985
20,1,8.04,0.041041767,0.170098146,0.063484789,0.003286048,0.027273734,0.052666293,0.159692367
21,1,9.25,0.047980586,0.163723657,0.031512209,0.001601854,0.03619027,0.021061879,0.152566457
22,1,10,0.052281507,0.159772527,0.011694495,0.000557932,0.041717048,0.001472367,0.14814957
23,1,11.08,0.045133522,0.157681485,0.009448763,0.012405302,0.034660287,0.006066594,0.14390326
24,1,11.67,0.041228603,0.156539156,0.008221928,0.018877476,0.030805205,0.008576404,0.141583517
25,1,12.27,0.0372575,0.155377466,0.006974299,0.025459348,0.026884782,0.011128752,0.139224456
26,1,12.86,0.033352582,0.154235138,0.005747464,0.031931523,0.0230297,0.013638562,0.136904712
