,Phenotype,Chromosome,Position,LOD,Max LOD
1,LOD PG_16_0,1,0,0.067145554,FALSE
2,LOD PG_16_0,1,0,0.067145554,FALSE
3,LOD PG_16_0,1,2.63,0.032975178,FALSE
4,LOD PG_16_0,1,2.63,0.032975178,FALSE
5,LOD PG_16_0,1,2.63,0.032975178,FALSE
6,LOD PG_16_0,1,2.63,0.032975178,FALSE
7,LOD PG_16_0,1,3.23,0.025179655,FALSE
8,LOD PG_16_0,1,3.82,0.017514057,FALSE
9,LOD PG_16_0,1,4.43,0.009588609,FALSE
10,LOD PG_16_0,1,4.43,0.009588609,FALSE
11,LOD PG_16_0,1,4.43,0.009588609,FALSE
12,LOD PG_16_0,1,4.43,0.009588609,FALSE
13,LOD PG_16_0,1,4.43,0.009588609,FALSE
14,LOD PG_16_0,1,4.43,0.009588609,FALSE
15,LOD PG_16_0,1,4.43,0.009588609,FALSE
16,LOD PG_16_0,1,5,0.002182862,FALSE
17,LOD PG_16_0,1,5.02,0.002643298,FALSE
18,LOD PG_16_0,1,5.62,0.016456363,FALSE
19,LOD PG_16_0,1,7.45,0.058586212,FALSE
20,LOD PG_16_0,1,8.04,0.07216906,FALSE
21,LOD PG_16_0,1,9.25,0.100025408,FALSE
22,LOD PG_16_0,1,10,0.11729174,FALSE
23,LOD PG_16_0,1,11.08,0.111784614,FALSE
24,LOD PG_16_0,1,11.67,0.108776091,FALSE
25,LOD PG_16_0,1,12.27,0.105716577,FALSE
26,LOD PG_16_0,1,12.86,0.102708054,FALSE
27,LOD PG_16_0,1,13.46,0.09964854,FALSE
28,LOD PG_16_0,1,14.66,0.093529511,FALSE
29,LOD PG_16_0,1,15,0.091795786,FALSE
30,LOD PG_16_0,1,20,0.123433077,FALSE
31,LOD PG_16_0,1,21.46,0.089595158,FALSE
32,LOD PG_16_0,1,22.07,0.075457398,FALSE
33,LOD PG_16_0,1,22.68,0.061319637,FALSE
34,LOD PG_16_0,1,23.29,0.047181877,FALSE
35,LOD PG_16_0,1,25,0.007549794,FALSE
36,LOD PG_16_0,1,25.17,0.031784125,FALSE
37,LOD PG_16_0,1,25.78,0.118742608,FALSE
38,LOD PG_16_0,1,28.31,0.479406481,FALSE
39,LOD PG_16_0,1,28.91,0.564939415,FALSE
40,LOD PG_16_0,1,28.91,0.564939415,FALSE
41,LOD PG_16_0,1,29.52,0.651897898,FALSE
42,LOD PG_16_0,1,30,0.720324246,FALSE
43,LOD PG_16_0,1,30.13,0.73297175,FALSE
44,LOD PG_16_0,1,32.01,0.915874122,FALSE
45,LOD PG_16_0,1,33.26,1.037484741,FALSE
46,LOD PG_16_0,1,35,1.206766723,FALSE
47,LOD PG_16_0,1,35.14,1.204839766,FALSE
48,LOD PG_16_0,1,35.75,1.196443739,FALSE
49,LOD PG_16_0,2,0,0.055088875,FALSE
50,LOD PG_16_0,2,0.6,0.049400318,FALSE
51,LOD PG_16_0,2,1.8,0.038023204,FALSE
52,LOD PG_16_0,2,2.4,0.032334647,FALSE
53,LOD PG_16_0,2,2.4,0.032334647,FALSE
54,LOD PG_16_0,2,2.4,0.032334647,FALSE
55,LOD PG_16_0,2,2.4,0.032334647,FALSE
56,LOD PG_16_0,2,3,0.02664609,FALSE
57,LOD PG_16_0,2,3,0.02664609,FALSE
58,LOD PG_16_0,2,3.6,0.020957533,FALSE
59,LOD PG_16_0,2,3.6,0.020957533,FALSE
60,LOD PG_16_0,2,4.22,0.015079357,FALSE
61,LOD PG_16_0,2,5,0.007684233,FALSE
62,LOD PG_16_0,2,5.44,0.011354628,FALSE
63,LOD PG_16_0,2,9.29,0.043470584,FALSE
64,LOD PG_16_0,2,9.89,0.048475668,FALSE
65,LOD PG_16_0,2,10,0.049393266,FALSE
66,LOD PG_16_0,2,10.5,0.049884069,FALSE
67,LOD PG_16_0,2,10.5,0.049884069,FALSE
68,LOD PG_16_0,2,10.5,0.049884069,FALSE
69,LOD PG_16_0,2,10.5,0.049884069,FALSE
70,LOD PG_16_0,2,11.09,0.050463216,FALSE
71,LOD PG_16_0,2,12.92,0.052259553,FALSE
72,LOD PG_16_0,2,15,0.054301291,FALSE
73,LOD PG_16_0,2,15.39,0.051051611,FALSE
74,LOD PG_16_0,2,16.6,0.04096927,FALSE
75,LOD PG_16_0,2,17.8,0.030970255,FALSE
76,LOD PG_16_0,2,18.4,0.025970747,FALSE
77,LOD PG_16_0,2,19.62,0.015805081,FALSE
78,LOD PG_16_0,2,19.62,0.015805081,FALSE
79,LOD PG_16_0,2,20,0.012638726,FALSE
80,LOD PG_16_0,2,22.09,0.008352344,FALSE
81,LOD PG_16_0,2,22.68,0.007142313,FALSE
82,LOD PG_16_0,2,23.28,0.005911773,FALSE
83,LOD PG_16_0,2,23.87,0.004701741,FALSE
