,Phenotype,Chromosome,Position,LOD,Max LOD
1,LOD PG_16_0,7,31,2.674868758,FALSE
2,LOD PG_16_0,7,31.6,2.839497879,FALSE
3,LOD PG_16_0,7,32.19,3.001383181,FALSE
4,LOD PG_16_0,7,33.4,3.333385242,FALSE
5,LOD PG_16_0,7,33.99,3.495270544,FALSE
6,LOD PG_16_0,7,34.59,3.659899665,FALSE
7,LOD PG_16_0,7,35,3.772396231,TRUE
8,LOD PG_16_0,7,35.19,3.728090446,FALSE
9,LOD PG_16_0,7,36.39,3.448264434,FALSE
10,LOD PG_16_0,7,36.99,3.308351428,FALSE
11,LOD PG_16_0,7,36.99,3.308351428,FALSE
12,LOD PG_16_0,7,37.6,3.166106538,FALSE
13,LOD PG_16_0,7,37.6,3.166106538,FALSE
14,LOD PG_16_0,7,38.19,3.028525416,FALSE
15,LOD PG_16_0,7,38.19,3.028525416,FALSE
16,LOD PG_16_0,7,38.79,2.88861241,FALSE
17,LOD PG_16_0,7,38.79,2.88861241,FALSE
18,LOD PG_16_0,7,39.39,2.748699403,FALSE
19,LOD PG_16_0,7,40,2.606454514,FALSE
20,LOD PG_16_1,4,59.04,3.393015162,FALSE
21,LOD PG_16_1,4,59.04,3.393015162,FALSE
22,LOD PG_16_1,4,59.04,3.393015162,FALSE
23,LOD PG_16_1,4,59.04,3.393015162,FALSE
24,LOD PG_16_1,4,59.64,3.636728208,FALSE
25,LOD PG_16_1,4,60,3.782956035,FALSE
26,LOD PG_16_1,4,60.23,3.785311628,FALSE
27,LOD PG_16_1,4,60.23,3.785311628,FALSE
28,LOD PG_16_1,4,60.83,3.791456651,FALSE
29,LOD PG_16_1,4,60.83,3.791456651,FALSE
30,LOD PG_16_1,4,61.43,3.797601675,FALSE
31,LOD PG_16_1,4,62.02,3.803644281,FALSE
32,LOD PG_16_1,4,62.02,3.803644281,FALSE
33,LOD PG_16_1,4,63.24,3.816139163,FALSE
34,LOD PG_16_1,4,63.24,3.816139163,FALSE
35,LOD PG_16_1,4,64.45,3.828531627,TRUE
36,LOD PG_16_1,4,64.45,3.828531627,FALSE
37,LOD PG_16_1,9,86.93,2.889626832,FALSE
38,LOD PG_16_1,9,90,4.115936463,FALSE
39,LOD PG_16_1,9,90.1,4.136555975,FALSE
40,LOD PG_16_1,9,91.31,4.386052064,FALSE
41,LOD PG_16_1,9,91.31,4.386052064,FALSE
42,LOD PG_16_1,9,91.91,4.509769134,FALSE
43,LOD PG_16_1,9,92.51,4.633486203,FALSE
44,LOD PG_16_1,9,92.51,4.633486203,FALSE
45,LOD PG_16_1,9,93.15,4.765451077,FALSE
46,LOD PG_16_1,9,93.15,4.765451077,FALSE
47,LOD PG_16_1,9,93.76,4.891230097,FALSE
48,LOD PG_16_1,9,95,5.14691204,TRUE
49,LOD PG_16_1,9,95.59,5.003116483,FALSE
50,LOD PG_16_1,9,98.07,4.398687702,FALSE
51,LOD PG_16_1,9,100,3.928305626,FALSE
52,LOD PG_16_1,9,100.54,3.903974779,FALSE
53,LOD PG_16_1,9,101.74,3.849906231,FALSE
54,LOD PG_16_1,9,101.74,3.849906231,FALSE
55,LOD PG_16_1,9,102.96,3.794936541,FALSE
56,LOD PG_16_1,9,103.56,3.767902267,FALSE
57,LOD PG_16_1,9,104.15,3.741318564,FALSE
58,LOD PG_18_2,2,34.69,2.718339459,FALSE
59,LOD PG_18_2,2,35,2.888528282,TRUE
60,LOD PG_18_2,2,35.29,2.880739588,FALSE
61,LOD PG_18_2,2,35.88,2.864893625,FALSE
62,LOD PG_18_2,2,36.48,2.848779087,FALSE
